user1,user2,timestamp
257,621,133710.0
300,301,133710.0
152,568,133712.0
152,58,133712.0
152,139,133712.0
52,13,133714.0
311,198,133714.0
394,140,133716.0
237,93,133718.0
104,288,133718.0
104,15497,133718.0
237,481,133718.0
237,133,133718.0
237,203,133718.0
19,291,133740.0
225,227,133740.0
19,477,133740.0
304,163,133740.0
304,164,133740.0
319,91,133747.0
319,318,133747.0
324,291,133748.0
324,546,133748.0
324,230,133748.0
75,111,133750.0
75,301,133750.0
75,65,133750.0
140,394,133752.0
436,225,133763.0
436,227,133763.0
264,234,133770.0
217,121,133771.0
217,49,133771.0
391,617,133773.0
391,368,133773.0
565,495,133779.0
195,139,133780.0
195,568,133780.0
100,198,133783.0
403,244,133787.0
198,100,133801.0
198,56,133801.0
481,133,133802.0
481,93,133802.0
481,58,133802.0
481,203,133802.0
230,291,133804.0
162,13,133806.0
162,403,133806.0
162,52,133806.0
456,187,133811.0
456,246,133811.0
46,136,133817.0
46,377,133817.0
337,53,133820.0
13,52,133822.0
568,416,133825.0
468,116,133827.0
468,628,133827.0
377,512,133828.0
377,136,133828.0
161,549,133829.0
161,204,133829.0
65,111,133833.0
65,75,133833.0
407,465,133837.0
353,100,133843.0
353,56,133843.0
246,456,133844.0
240,229,133845.0
331,257,133845.0
331,436,133845.0
189,645,133846.0
333,556,133848.0
465,407,133856.0
617,391,133857.0
494,163,133859.0
494,680,133859.0
427,243,133860.0
614,249,133860.0
614,205,133860.0
380,489,133864.0
179,812,133870.0
416,139,133872.0
467,465,133877.0
580,283,133877.0
227,159,133879.0
205,614,133879.0
205,229,133879.0
619,200,133882.0
204,161,133884.0
204,549,133884.0
680,304,133885.0
207,465,133886.0
344,198,133886.0
344,56,133886.0
368,391,133892.0
575,327,133893.0
575,231,133893.0
151,63,133896.0
165,166,133896.0
166,165,133896.0
210,480,133898.0
163,304,133898.0
163,204,133898.0
163,494,133898.0
303,53,133903.0
53,303,133907.0
378,476,133908.0
106,575,133908.0
